徐阳:Xu Yang
龙坤:Long Kun
灵瑶:Ling Yao
赵鹏:Zhao Peng
紫狂:Zi Kuang
小灰:Xiao Hui
凌云:Ling Yun
拓跋宏:Tuoba Hong
蓝灵儿:Lan Linger
龙老五:Long Laowu
老五:Lao Wu
白龙:Bai Long
王尊:Wang Zun
赵天勋:Zhao Tianxun
黑蛟:Hei Jiao
赵龙:Zhao Long
穆擎天:Mu Qingtian
阿玲:A Ling
钟魂:Zhong Hun
海魔君:Hai Mojun
三爷:San Ye
小团团:Xiao Tuantuan
玄光:Xuan Guang
齐天:Qi Tian
牛王尊:Niu Wangzun
张天俊:Zhang Tianjun
陈狂刀:Chen Kuangdao
张双天:Zhang Shuangtian
刘清:Liu Qing
徐阳凝:Xu Yangning
吉坦:Ji Tan
陆开山:Lu Kaishan
许龙:Xu Long
周彻:Zhou Che
青姝:Qing Shu
慕容剑:Murong Jian
凤王尊:Feng Wangzun
寂夜:Ji Ye
刘真:Liu Zhen
徐梦瑶:Xu Mengyao
朱三:Zhu San
钟奇:Zhong Qi
周天:Zhou Tian
白怜:Bai Lian
刘丹:Liu Dan
赵白:Zhao Bai
王芳翠:Wang Fangcui
张也:Zhang Ye
绝星:Jue Xing
元婴:Yuan Ying
白于安:Bai Yuan
海魄宗:Hai Pozong
屠心:Tu Xin
灵技:Ling Ji
张涛:Zhang Tao
刘明:Liu Ming
世子:Shi Zi
天眼神道:Tianyan Shendao
赵天宇:Zhao Tianyu
许清应:Xu Qingying
王剑霸:Wang Jianba
圣道 天音:Shengdao Tianyin
云通 祖巫:Yuntong Zuwu
云逸 轩:Yun Yixuan
云亦 轩:Yun Yixuan
小花儿:Xiao Hua'er
拓跋 宏:Tuoba Hong
长云 天宗:Changyun Tianzong
老祖:Lao Tzu
凌青姝:Ling Qingshu
天岚宗:Sky Lanzong
